uid,utctime,microseconds,original,omicroseconds,card,readerid,address,scancount,type,transition,ttype
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:28,584000,2005-02-09 10:23:28,584000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.425,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:29,15000,2005-02-09 10:23:29,15000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.431,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:29,460000,2005-02-09 10:23:29,460000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.445,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:29,891000,2005-02-09 10:23:29,891000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.431,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:30,360000,2005-02-09 10:23:30,360000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.469,44063->44063
EF A5 92 05 08 00 12 E0,2016-04-15 5:50:30,786000,2005-02-09 10:23:30,786000,Maja_2005-02-09_09-01-32,44063,1,1,177,0.426,44063->44063
6D B2 92 05 08 00 12 E0,2016-04-15 6:02:09,982000,2005-02-09 10:35:09,982000,Maja_2005-02-09_09-01-32,44062,7,1,177,2710.29,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-15 6:02:10,410000,2005-02-09 10:35:10,410000,Maja_2005-02-09_09-01-32,44062,7,1,177,0.428,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-15 6:02:20,828000,2005-02-09 10:35:20,828000,Maja_2005-02-09_09-01-32,44061,8,1,177,10.418,44062->44061
6D B2 92 05 08 00 12 E0,2016-04-15 6:02:21,252000,2005-02-09 10:35:21,252000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.424,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-15 6:02:21,677000,2005-02-09 10:35:21,677000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.425,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:08:51,671000,2005-02-10 8:41:51,671000,Maja_2005-02-09_09-01-32,44061,8,1,177,79590,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:08:52,102000,2005-02-10 8:41:52,102000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.431,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:09:29,75000,2005-02-10 8:42:29,75000,Maja_2005-02-09_09-01-32,44062,7,1,177,36.973,44061->44062
6D B2 92 05 08 00 12 E0,2016-04-16 4:09:29,510000,2005-02-10 8:42:29,510000,Maja_2005-02-09_09-01-32,44062,7,1,177,0.435,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-16 4:36:57,696000,2005-02-10 9:09:57,696000,Maja_2005-02-09_09-01-32,44062,7,1,177,1648.19,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-16 4:36:58,134000,2005-02-10 9:09:58,134000,Maja_2005-02-09_09-01-32,44062,7,1,177,0.438,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-16 4:36:58,562000,2005-02-10 9:09:58,562000,Maja_2005-02-09_09-01-32,44062,7,1,177,0.428,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-16 4:37:02,586000,2005-02-10 9:10:02,586000,Maja_2005-02-09_09-01-32,44061,8,1,177,4.024,44062->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:37:03,56000,2005-02-10 9:10:03,56000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.47,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:37:10,667000,2005-02-10 9:10:10,667000,Maja_2005-02-09_09-01-32,44061,8,1,177,7.611,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:37:19,584000,2005-02-10 9:10:19,584000,Maja_2005-02-09_09-01-32,44062,7,1,177,8.917,44061->44062
6D B2 92 05 08 00 12 E0,2016-04-16 4:37:20,7000,2005-02-10 9:10:20,7000,Maja_2005-02-09_09-01-32,44062,7,1,177,0.423,44062->44062
6D B2 92 05 08 00 12 E0,2016-04-16 4:37:49,836000,2005-02-10 9:10:49,836000,Maja_2005-02-09_09-01-32,44061,8,1,177,29.829,44062->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:37:50,293000,2005-02-10 9:10:50,293000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.457,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:53:00,775000,2005-02-10 9:26:00,775000,Maja_2005-02-09_09-01-32,44061,8,1,177,910.482,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:53:01,207000,2005-02-10 9:26:01,207000,Maja_2005-02-09_09-01-32,44061,8,1,177,0.432,44061->44061
6D B2 92 05 08 00 12 E0,2016-04-16 4:53:04,242000,2005-02-10 9:26:04,242000,Maja_2005-02-09_09-01-32,44062,7,1,177,3.035,44061->44062
6D B2 92 05 08 00 12 E0,2016-04-16 5:24:48,590000,2005-02-10 9:57:48,590000,Maja_2005-02-09_09-01-32,44064,4,1,177,1904.35,44062->44064
6D B2 92 05 08 00 12 E0,2016-04-16 5:24:49,25000,2005-02-10 9:57:49,25000,Maja_2005-02-09_09-01-32,44064,4,1,177,0.435,44064->44064
6D B2 92 05 08 00 12 E0,2016-04-16 5:24:49,444000,2005-02-10 9:57:49,444000,Maja_2005-02-09_09-01-32,44064,4,1,177,0.419,44064->44064
6D B2 92 05 08 00 12 E0,2016-04-16 5:24:49,881000,2005-02-10 9:57:49,881000,Maja_2005-02-09_09-01-32,44064,4,1,177,0.437,44064->44064
6D B2 92 05 08 00 12 E0,2016-04-16 5:25:32,183000,2005-02-10 9:58:32,183000,Maja_2005-02-09_09-01-32,44059,6,1,177,42.302,44064->44059
