"April 5, 2016",8:00 AM,61.2 F,48.0 F,62 %,NW,1.6 mph,3.8 mph,30.33 in,0.00 in,0.00 in,2,119 w/m\xc2\xb2 
"April 5, 2016",8:06 AM,63.0 F,48.4 F,59 %,South,6.0 mph,6.0 mph,30.33 in,0.00 in,0.00 in,2,131 w/m\xc2\xb2 
"April 5, 2016",8:12 AM,64.0 F,49.5 F,59 %,SE,2.2 mph,2.2 mph,30.33 in,0.00 in,0.00 in,2,145 w/m\xc2\xb2 
"April 5, 2016",8:18 AM,64.4 F,48.4 F,56 %,North,6.0 mph,6.0 mph,30.33 in,0.00 in,0.00 in,3,156 w/m\xc2\xb2 
"April 5, 2016",8:24 AM,64.9 F,49.3 F,57 %,SE,2.2 mph,3.8 mph,30.33 in,0.00 in,0.00 in,3,167 w/m\xc2\xb2 
"April 5, 2016",8:30 AM,65.1 F,48.6 F,55 %,South,7.6 mph,7.6 mph,30.34 in,0.00 in,0.00 in,3,178 w/m\xc2\xb2 
"April 5, 2016",8:35 AM,65.8 F,49.3 F,55 %,SW,8.3 mph,8.3 mph,30.34 in,0.00 in,0.00 in,3,188 w/m\xc2\xb2 
"April 5, 2016",8:47 AM,65.8 F,49.3 F,55 %,South,3.1 mph,3.1 mph,30.34 in,0.00 in,0.00 in,4,210 w/m\xc2\xb2 
"April 5, 2016",8:59 AM,66.4 F,48.2 F,52 %,SW,5.4 mph,9.8 mph,30.34 in,0.00 in,0.00 in,4,230 w/m\xc2\xb2 
"April 5, 2016",9:05 AM,67.1 F,48.9 F,52 %,West,13.6 mph,13.6 mph,30.34 in,0.00 in,0.00 in,4,243 w/m\xc2\xb2 
"April 5, 2016",9:11 AM,66.9 F,48.2 F,51 %,SE,4.5 mph,6.0 mph,30.34 in,0.00 in,0.00 in,4,254 w/m\xc2\xb2 
"April 5, 2016",9:28 AM,67.1 F,48.4 F,51 %,South,5.4 mph,5.4 mph,30.34 in,0.00 in,0.00 in,5,289 w/m\xc2\xb2 
"April 5, 2016",9:34 AM,68.0 F,48.7 F,50 %,South,4.5 mph,4.5 mph,30.34 in,0.00 in,0.00 in,5,336 w/m\xc2\xb2 
"April 5, 2016",9:40 AM,67.8 F,48.6 F,50 %,East,2.2 mph,5.4 mph,30.34 in,0.00 in,0.00 in,4,247 w/m\xc2\xb2 
"April 5, 2016",9:46 AM,67.6 F,48.9 F,51 %,SE,6.9 mph,6.9 mph,30.34 in,0.00 in,0.00 in,4,140 w/m\xc2\xb2 
"April 5, 2016",9:52 AM,68.2 F,46.6 F,46 %,South,6.0 mph,6.0 mph,30.34 in,0.00 in,0.00 in,7,414 w/m\xc2\xb2 
"April 5, 2016",9:58 AM,70.2 F,46.6 F,43 %,South,7.6 mph,7.6 mph,30.35 in,0.00 in,0.00 in,4,179 w/m\xc2\xb2 
"April 5, 2016",10:04 AM,70.9 F,46.0 F,41 %,NW,3.1 mph,4.5 mph,30.34 in,0.00 in,0.00 in,3,128 w/m\xc2\xb2 
"April 5, 2016",10:09 AM,68.9 F,44.8 F,42 %,South,5.4 mph,8.3 mph,30.34 in,0.00 in,0.00 in,4,147 w/m\xc2\xb2 
"April 5, 2016",10:15 AM,68.0 F,45.9 F,45 %,SW,5.4 mph,6.9 mph,30.34 in,0.00 in,0.00 in,5,192 w/m\xc2\xb2 
"April 5, 2016",10:27 AM,68.9 F,46.0 F,44 %,East,6.0 mph,6.0 mph,30.35 in,0.00 in,0.00 in,4,157 w/m\xc2\xb2 
"April 5, 2016",10:33 AM,68.7 F,45.3 F,43 %,East,5.4 mph,5.4 mph,30.35 in,0.00 in,0.00 in,4,152 w/m\xc2\xb2 
"April 5, 2016",10:39 AM,68.9 F,45.5 F,43 %,SE,4.5 mph,6.9 mph,30.35 in,0.00 in,0.00 in,4,157 w/m\xc2\xb2 
"April 5, 2016",10:45 AM,68.2 F,44.8 F,43 %,SW,8.3 mph,8.3 mph,30.35 in,0.00 in,0.00 in,4,167 w/m\xc2\xb2 
"April 5, 2016",10:51 AM,68.2 F,44.8 F,43 %,East,4.5 mph,9.8 mph,30.35 in,0.00 in,0.00 in,5,187 w/m\xc2\xb2 
"April 5, 2016",10:56 AM,68.2 F,44.2 F,42 %,South,6.9 mph,9.2 mph,30.35 in,0.00 in,0.00 in,5,169 w/m\xc2\xb2 
"April 5, 2016",11:02 AM,68.4 F,45.0 F,43 %,SW,6.9 mph,6.9 mph,30.34 in,0.00 in,0.00 in,5,176 w/m\xc2\xb2 
"April 5, 2016",11:08 AM,69.3 F,44.6 F,41 %,NE,3.8 mph,3.8 mph,30.34 in,0.00 in,0.00 in,5,199 w/m\xc2\xb2 
"April 5, 2016",11:14 AM,70.9 F,44.8 F,39 %,North,6.0 mph,9.8 mph,30.34 in,0.00 in,0.00 in,10,478 w/m\xc2\xb2 
"April 5, 2016",11:20 AM,71.8 F,42.6 F,35 %,East,13.6 mph,13.6 mph,30.34 in,0.00 in,0.00 in,10,524 w/m\xc2\xb2 
"April 5, 2016",11:26 AM,71.4 F,42.3 F,35 %,SE,4.5 mph,7.6 mph,30.34 in,0.00 in,0.00 in,6,229 w/m\xc2\xb2 
"April 5, 2016",11:32 AM,70.9 F,43.3 F,37 %,SE,3.8 mph,7.6 mph,30.34 in,0.00 in,0.00 in,6,246 w/m\xc2\xb2 
"April 5, 2016",11:38 AM,70.3 F,42.8 F,37 %,South,6.0 mph,8.3 mph,30.33 in,0.00 in,0.00 in,11,543 w/m\xc2\xb2 
"April 5, 2016",11:43 AM,70.9 F,43.3 F,37 %,NE,3.8 mph,5.4 mph,30.34 in,0.00 in,0.00 in,11,480 w/m\xc2\xb2 
"April 5, 2016",11:55 AM,73.2 F,42.4 F,33 %,East,8.3 mph,8.3 mph,30.33 in,0.00 in,0.00 in,10,456 w/m\xc2\xb2 
"April 5, 2016",12:01 PM,72.7 F,41.2 F,32 %,East,5.4 mph,5.4 mph,30.33 in,0.00 in,0.00 in,10,455 w/m\xc2\xb2 
"April 5, 2016",12:07 PM,73.6 F,41.9 F,32 %,West,6.9 mph,8.3 mph,30.32 in,0.00 in,0.00 in,10,460 w/m\xc2\xb2 
"April 5, 2016",12:13 PM,73.6 F,41.9 F,32 %,NE,5.4 mph,7.6 mph,30.32 in,0.00 in,0.00 in,10,460 w/m\xc2\xb2 
"April 5, 2016",12:19 PM,73.4 F,41.7 F,32 %,South,5.4 mph,12.1 mph,30.32 in,0.00 in,0.00 in,10,460 w/m\xc2\xb2 
"April 5, 2016",12:25 PM,74.8 F,43.0 F,32 %,East,5.4 mph,6.0 mph,30.32 in,0.00 in,0.00 in,10,462 w/m\xc2\xb2 
"April 5, 2016",12:30 PM,75.2 F,42.4 F,31 %,South,3.8 mph,3.8 mph,30.32 in,0.00 in,0.00 in,10,467 w/m\xc2\xb2 
"April 5, 2016",12:36 PM,75.6 F,40.1 F,28 %,South,6.0 mph,6.9 mph,30.32 in,0.00 in,0.00 in,10,464 w/m\xc2\xb2 
"April 5, 2016",12:42 PM,75.4 F,40.1 F,28 %,East,2.2 mph,4.5 mph,30.31 in,0.00 in,0.00 in,10,458 w/m\xc2\xb2 
